bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Loteamento Mansões Goianas,-16.6252368,-49.27780629999999,6545.86,-2427.89,6074.88
Loteamento Portal do Sol I,-16.7174975,-49.1862218,8434.3,7321.91,-4178.32
Loteamento Portal do Sol II,-16.722118,-49.1853107,8782.2,7418.9,-4691.81
Loteamento Shangry-Lá,-16.5916993,-49.2676689,9899.91,-1348.69,9802.0
Loteamento Tropical Verde,-16.6863603,-49.3437425,9479.61,-9447.25,-717.95
Loteamento Tropical Ville,-16.653504,-49.3799125,13625.99,-13297.79,2933.47
Loteamento Tupynambá dos Reis,-16.6516976,-49.1830919,8277.02,7655.11,3134.22
Loteamento Vale Verde,-16.7466011,-49.3231032,10373.66,-7250.05,-7412.69
Loteamento Água Azul,-16.6464658,-49.29907679999999,5988.93,-4692.28,3715.64
Moinho dos Ventos,-16.7304882,-49.3455246,11162.09,-9636.96,-5622.02
Nossa Senhora de Fátima,-16.6875612,-49.3183735,6803.71,-6746.54,-851.41
Nova Suiça,-16.7069962,-49.2821365,4175.12,-2888.87,-3011.28
Panorama Parque,-16.6424615,-49.2771726,4786.36,-2360.42,4160.65
Park Lozandes,-16.6981112,-49.2238358,3888.26,3317.64,-2023.86
Parque Acalanto,-16.7399684,-49.2188283,7710.58,3850.72,-6675.58
Parque Amazonia,-16.7408499,-49.2804481,7299.13,-2709.12,-6773.54
Parque Amazônia,-16.7408499,-49.2804481,7299.13,-2709.12,-6773.54
Parque Anhanguera,-16.7252175,-49.2951537,6609.15,-4274.64,-5036.27
Parque Anhanguera II,-16.7259356,-49.308229,7638.18,-5666.59,-5116.07
Parque Atheneu,-16.7450027,-49.19675729999999,9533.01,6200.33,-7235.06
Parque Balneário,-16.6157234,-49.2844599,7795.78,-3136.21,7132.14
Parque Bom Jesus,-16.7027695,-49.40181579999999,15842.75,-15629.55,-2541.56
Parque Buriti,-16.6488525,-49.3830864,14074.37,-13635.67,3450.4
Parque Cidade,-16.6997927,-49.2055105,5716.46,5268.5,-2210.73
Parque Eldorado Oeste,-16.6884365,-49.4084837,16375.67,-16339.39,-948.69
Parque Eldorado Oeste Extensão,-16.6884365,-49.4084837,16375.67,-16339.39,-948.69
Parque Flamboyant,-16.7406934,-49.2214398,7646.63,3572.71,-6756.15
Parque Goiá Condomínio Clube,-16.6786996,-49.3292839,7913.59,-7908.03,133.4
Parque Industrial João Bras 2,-16.6722645,-49.3500865,10163.98,-10122.61,848.56
Parque Industrial Paulista,-16.6557792,-49.3361306,9048.9,-8636.91,2680.62
Parque Industrial de Goiânia,-16.6575844,-49.2322022,3472.0,2426.98,2480.0
Parque João Braz - Cidade Industrial,-16.6847317,-49.35451090000001,10613.0,-10593.62,-536.96
Parque Maracanã,-16.5729601,-49.3818504,18001.83,-13504.09,11884.55
Parque Oeste Industrial,-16.6944576,-49.3323251,8393.63,-8231.79,-1617.83
Parque Oeste Industrial Extensão,-16.6944576,-49.3323251,8393.63,-8231.79,-1617.83
Parque Oeste Industrial Prolongamento,-16.6944576,-49.3323251,8393.63,-8231.79,-1617.83
Parque Santa Cruz,-16.7318566,-49.2220728,6758.33,3505.33,-5774.09
Parque Santa Maria,-16.6946514,-49.2013111,5949.11,5715.55,-1639.37
Parque Santa Rita,-16.7256537,-49.3627765,12555.52,-11473.55,-5084.74
Parque das Amendoeiras,-16.6557723,-49.1942263,7007.7,6469.78,2681.38
Parque das Flores,-16.6309251,-49.2866779,6406.6,-3372.33,5442.73
Parque das Laranjeiras,-16.7264091,-49.22547160000001,6052.72,3143.5,-5168.69
