rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Anápolis,Parque Industrial de Goiânia,-16.6633026,-49.2318234,3082.36,2467.31,1844.52
Avenida Anápolis,Parque das Amendoeiras,-16.658445,-49.1949587,6826.19,6391.81,2384.36
Avenida Araguaia,Jardim Caravelas 1ª Etapa,-16.670311,-49.253868,1073.04,120.51,1065.65
Avenida Araguaia,Setor Central,-16.6714378,-49.2541726,945.07,88.08,940.43
Avenida Arapoema,Residencial Antônio Barbosa,-16.5891589,-49.2706953,10227.58,-1670.87,10084.33
Avenida Araxá,Jardim Ana Lúcia,-16.6968023,-49.3115885,6313.56,-6024.23,-1878.4
Avenida Areião,Setor Areião II,-16.7121577,-49.2585388,3606.64,-376.73,-3584.89
Avenida Areião,Setor Pedro Ludovico,-16.7096088,-49.2574631,3313.87,-262.21,-3301.63
Avenida Aristóteles,Jardim Mariliza,-16.7357458,-49.2014027,8434.7,5705.8,-6206.31
Avenida Armando de Godoy,Cidade Jardim,-16.6812554,-49.3104366,5906.8,-5901.61,-150.63
Avenida Armando de Godoy,Setor Negrão de Lima,-16.657386,-49.2456531,2694.17,995.04,2502.05
Avenida Armando de Godoy,Setor Nova Vila,-16.6579736,-49.2476785,2559.81,779.42,2436.75
Avenida Arno,Residencial Villagio Toscana,-16.6015455,-49.2450932,8776.32,1054.65,8707.77
Avenida Aruanã,Conjunto Residencial Aruanã II,-16.6931312,-49.2014549,5889.93,5700.24,-1470.42
Avenida Arumã,Parque Amazônia,-16.7288818,-49.274574,5831.86,-2083.79,-5443.49
Avenida Ary José Cascão,Residencial Fonte das Águas,-16.6005296,-49.3804046,16012.21,-13350.18,8820.67
Avenida Assis Chateaubriand,Setor Oeste,-16.6866062,-49.2697293,1737.08,-1568.03,-745.28
Avenida Augusto Severo,Goiá,-16.6891408,-49.3319152,8256.7,-8188.15,-1026.96
Avenida Auta Ferraz de Camargo,Jardim Balneário Meia Ponte,-16.6123911,-49.3013493,8985.09,-4934.2,7502.46
Avenida Autódromo Ayrton Senna,Residencial Alphaville Flamboyant,-16.7191219,-49.1920544,7997.8,6700.99,-4358.85
Avenida Ayrton Senna,Loteamento Portal do Sol I,-16.7133996,-49.1927363,7606.08,6628.4,-3722.91
Avenida Ayrton Senna,Loteamento Portal do Sol II,-16.7133996,-49.1927363,7606.08,6628.4,-3722.91
Avenida B,Parque Flamboyant,-16.6790864,-49.2683755,1427.58,-1423.91,90.42
Avenida B,Setor Oeste,-16.6790864,-49.2683755,1427.58,-1423.91,90.42
Avenida B,Vila Lucy,-16.6955916,-49.3132162,6441.53,-6197.51,-1743.85
Avenida Babaçu,Parque Santa Rita,-16.7219413,-49.3693327,13043.45,-12171.5,-4672.17
Avenida Baffin,Moinho dos Ventos,-16.7237325,-49.3520205,11424.87,-10328.5,-4871.24
Avenida Bandeirantes,Jardim Petrópolis,-16.6597948,-49.3452418,9869.26,-9606.86,2234.35
Avenida Barcelona,Setor Três Marias,-16.7443208,-49.3376886,11351.71,-8802.77,-7159.27
Avenida Barão de Rio Branco,Jardim Vila Boa,-16.7300021,-49.316344,8586.08,-6530.49,-5567.99
Avenida Bela Vista,Jardim das Esmeraldas,-16.7308166,-49.2563816,5663.58,-147.08,-5658.51
Avenida Bela Vista,Parque Acalanto,-16.7367928,-49.2246114,7105.98,3235.07,-6322.66
Avenida Bela Vista,Residencial Brisas do Cerrado,-16.7367928,-49.2246114,7105.98,3235.07,-6322.66
Avenida Belo Horizonte,Setor Jaó,-16.6484944,-49.233607,4169.94,2277.43,3490.2
