rua,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Engenheiro Correia Lima,-16.6511233,-49.2556411,3200.55,-68.25,3198.04
Avenida Engenheiro Eurico Viana,-16.7119819,-49.2404102,3891.09,1553.18,-3565.36
Avenida Engenheiro Fuad Rassi,-16.6537652,-49.2538195,2908.78,125.67,2904.44
Avenida Engler,-16.7374305,-49.2117465,7883.07,4604.63,-6393.53
Avenida Ephraim de Morais,-16.6500038,-49.3435598,10002.37,-9427.8,3322.45
Avenida Eurico Viana,-16.6294435,-49.2851016,6462.27,-3204.52,5607.38
Avenida F,-16.6987598,-49.2187279,4395.86,3861.41,-2095.95
Avenida Feira de Santana,-16.7306589,-49.2720765,5929.91,-1817.91,-5640.99
Avenida Felipe Camarão,-16.6849716,-49.3324283,8266.52,-8242.77,-563.62
Avenida Filogônio Rezende Machado,-16.6242285,-49.3051048,8173.89,-5334.0,6186.94
Avenida Fiori,-16.7155665,-49.1465399,12213.51,11546.32,-3963.72
Avenida Firenze,-16.6544188,-49.18424,8052.53,7532.89,2831.8
Avenida Floresta,-16.615449,-49.1911211,9882.93,6800.35,7162.63
Avenida Fonte Nova,-16.6215405,-49.3146907,9085.57,-6354.48,6485.66
Avenida Francisco Alves de Moraes,-16.6050802,-49.3122238,10314.17,-6091.86,8314.95
Avenida Francisco Pereira de Souza,,,,,
Avenida Francisco de Araújo,-16.6330207,-49.273972,5590.83,-2019.7,5209.84
Avenida Francisco de Melo,-16.7445539,-49.2932151,8261.23,-4068.26,-7185.18
Avenida França,-16.7429684,-49.1881803,9991.04,7113.41,-7008.98
Avenida Frei Confalloni,,,,,
Avenida Frei Galvão,-16.5907702,-49.2060204,11200.65,5214.21,9905.26
Avenida Frei Miguelino,-16.684096,-49.3281047,7800.72,-7782.5,-466.31
Avenida Frei Nazareno Confalone,-16.6230243,-49.2532012,6327.19,191.49,6320.76
Avenida Fued José Sebba,-16.690819,-49.2383029,2153.38,1777.52,-1213.46
Avenida G,-16.6976271,-49.2200744,4209.95,3718.07,-1970.06
Avenida G. Vukojicic,-16.611939,-49.297714,8821.25,-4547.2,7552.71
Avenida GGC23,-16.7114099,-49.234602,4122.64,2171.51,-3501.79
Avenida GYN 20,-16.6919277,-49.4063545,16176.58,-16112.72,-1336.67
Avenida GYN 23,-16.7543171,-49.3819265,15848.79,-13512.19,-8270.19
Avenida GYN20,-16.6919277,-49.4063545,16176.58,-16112.72,-1336.67
Avenida Gabriel Henrique de Araújo,-16.6986318,-49.3507417,10408.09,-10192.36,-2081.72
Avenida Galápagos,-16.6649028,-49.3541903,10696.58,-10559.49,1666.68
Avenida Gameleira,-16.6946396,-49.2011845,5961.72,5729.03,-1638.06
Avenida Genésio de Lima Brito,-16.6153873,-49.2947224,8328.68,-4228.72,7169.49
Avenida Geraldo Rodrigues,-16.7234701,-49.2114124,6709.87,4640.2,-4842.07
Avenida Gercina Borges,-16.6755781,-49.3858876,13950.09,-13933.88,480.31
Avenida Gercina Borges Teixeira,-16.6755781,-49.3858876,13950.09,-13933.88,480.31
Avenida Goiás,-16.6538134,-49.2634431,3036.93,-898.83,2899.08
Avenida Goiás Norte,-16.6240489,-49.2803821,6773.49,-2702.1,6206.9
